from pubchempy import get_compounds

# ok = set()
# nok = set()
# need = {'C', 'H', 'N', 'O', 'F', 'P', 'Cl', 'S', 'Br'}
# data = []
# res = []

# def judge(name):
#     if name in ok:
#         return True
#     if name in nok:
#         return False
#     print("need " + name)
#     compounds = get_compounds(name, 'name')
#     compound = compounds[0] if compounds else None
#     if compound:
#         tmp = set(compound.elements)
#         if not tmp.difference(need):
#             ok.add(name)
#             return True
#         else:
#             nok.add(name)
#             return False
#     else:
#         print("Can't get element of " + name)
#         res.append(name)
#         return False

# f = open('other.txt', 'w')
# with open('res.txt', 'r') as reader:
#     first_line = True
#     for line in reader:
#         if first_line:
#             first_line = False
#             continue
#         lines = line.split(';')
#         solute = lines[0]
#         solvent = lines[1]
#         if judge(solute) and judge(solvent):
#             f.write(line)

# f.close()
# f = open('res.txt', 'a')
# f.write('\n' + time.strftime("%Y-%m-%d %H:%M:%S", time.localtime()) + '\n')
# print("{} can't find".format(len(res)))
# for line in res:
#     f.write(line + '\n')
# f.close()

a = set()
cnt = 0
with open('Solv@Tum_reformated.txt', 'r') as reader:
    first_column = True
    for line in reader:
        if first_column:
            first_column = False
            continue
        if line in a:
            cnt += 1
        else:
            a.add(line)

print(cnt)
;PYRIDINE;CCCCOC(=O)C;c1ccncc1;-5.79
METHYLCYCLOHEXANE;2-BUTOXYETHANOL;CC1CCCCC1;CCCCOCCO;-4.01
M-XYLENE;2-BUTOXYETHANOL;Cc1cccc(c1)C;CCCCOCCO;-5.31
FLUOROBENZENE;2-BUTOXYETHANOL;c1ccc(cc1)F;CCCCOCCO;-4.3
BROMOBENZENE;2-BUTOXYETHANOL;c1ccc(cc1)Br;CCCCOCCO;-5.8
UNDECANE;2-BUTOXYETHANOL;CCCCCCCCCCC;CCCCOCCO;-6.17
CYCLOOCTANE;2-BUTOXYETHANOL;C1CCCCCCC1;CCCCOCCO;-5.16
2-BUTOXYETHANOL;2-BUTOXYETHANOL;CCCCOCCO;CCCCOCCO;-7.11
PENTANE;4-FORMYLMORPHOLINE;CCCCC;C1COCCN1C=O;-1.51
HEXANE;4-FORMYLMORPHOLINE;CCCCCC;C1COCCN1C=O;-2.03
HEPTANE;4-FORMYLMORPHOLINE;CCCCCCC;C1COCCN1C=O;-2.56
OCTANE;4-FORMYLMORPHOLINE;CCCCCCCC;C1COCCN1C=O;-3.1
TETRAHYDROFURAN;4-FORMYLMORPHOLINE;C1CCOC1;C1COCCN1C=O;-3.7
ACETONE;4-FORMYLMORPHOLINE;CC(=O)C;C1COCCN1C=O;-3.7
BUTANONE;4-FORMYLMORPHOLINE;CCC(=O)C;C1COCCN1C=O;-4.12
PENTAN-2-ONE;4-FORMYLMORPHOLINE;CCCC(=O)C;C1COCCN1C=O;-4.52
METHYL ACETATE;4-FORMYLMORPHOLINE;CC(=O)OC;C1COCCN1C=O;-3.63
PROPYL ACETATE;4-FORMYLMORPHOLINE;CCCOC(=O)C;C1COCCN1C=O;-4.42
METHANOL;4-FORMYLMORPHOLINE;CO;C1COCCN1C=O;-4.27
ETHANOL;4-FORMYLMORPHOLINE;CCO;C1COCCN1C=O;-4.49
1-PROPANOL;4-FORMYLMORPHOLINE;CCCO;C1COCCN1C=O;-5.03
TOLUENE;4-FORMYLMORPHOLINE;Cc1ccccc1;C1COCCN1C=O;-4.52
ETHYLBENZENE;4-FORMYLMORPHOLINE;CCc1ccccc1;C1COCCN1C=O;-5.01
DECANE;4-FORMYLMORPHOLINE;CCCCCCCCCC;C1COCCN1C=O;-4.15
ISOPROPANOL;4-FORMYLMORPHOLINE;CC(C)O;C1COCCN1C=O;-4.53
P-XYLENE;4-FORMYLMORPHOLINE;Cc1ccc(cc1)C;C1COCCN1C=O;-4.98
ETHYL ACETATE;4-FORMYLMORPHOLINE;CCOC(=O)C;C1COCCN1C=O;-3.93
2,2,4-TRIMETHYLPENTANE;4-FORMYLMORPHOLINE;CC(C)CC(C)(C)C;C1COCCN1C=O;-2.44
TERT-BUTANOL;4-FORMYLMORPHOLINE;CC(C)(C)O;C1COCCN1C=O;-4.45
O-XYLENE;4-FORMYLMORPHOLINE;Cc1ccccc1C;C1COCCN1C=O;-5.27
METHYLCYCLOHEXANE;4-FORMYLMORPHOLINE;CC1CCCCC1;C1COCCN1C=O;-2.95
3-PENTANONE;4-FORMYLMORPHOLINE;CCC(=O)CC;C1COCCN1C=O;-4.45
ETHYL BUTANOATE;4-FORMYLMORPHOLINE;CCCC(=O)OCC;C1COCCN1C=O;-4.61
M-XYLENE;4-FORMYLMORPHOLINE;Cc1cccc(c1)C;C1COCCN1C=O;-5.03
4-METHYLPENTAN-2-ONE;4-FORMYLMORPHOLINE;CC(C)CC(=O)C;C1COCCN1C=O;-4.61
4-FORMYLMORPHOLINE;4-FORMYLMORPHOLINE;C1COCCN1C=O;C1COCCN1C=O;-8.43
PENTANE;PROPIONITRILE;CCCCC;CCC#N;-2.48
HEXANE;PROPIONITRILE;CCCCCC;CCC#N;-3.0
HEPTANE;PROPIONITRILE;CCCCCCC;CCC#N;-3.57
OCTANE;PROPIONITRILE;CCCCCCCC;CCC#N;-4.13
NONANE;PROPIONITRILE;CCCCCCCCC;CCC#N;-4.69
PENTANE;M-XYLENE;CCCCC;Cc1cccc(c1)C;-3.11
HEXANE;M-XYLENE;CCCCCC;Cc1cccc(c1)C;-3.85
DICHLOROMETHANE;M-XYLENE;C(Cl)Cl;Cc1cccc(c1)C;-3.58
CARBON TETRACHLORIDE;M-XYLENE;C(Cl)(Cl)(Cl)Cl;Cc1cccc(c1)C;-4.29
DIETHYL ETHER;M-XYLENE;CCOCC;Cc1cccc(c1)C;-3.29
ACETONE;M-XYLENE;CC(=O)C;Cc1cccc(c1)C;-3.4
BUTANONE;M-XYLENE;CCC(=O)C;Cc1cccc(c1)C;-4.09
METHANOL;M-XYLENE;CO;Cc1cccc(c1)C;-2.42
ETHANOL;M-XYLENE;CCO;Cc1cccc(c1)C;-3.0
1-PROPANOL;M-XYLENE;CCCO;Cc1cccc(c1)C;-3.72
N-BUTANOL;M-XYLENE;CCCCO;Cc1cccc(c1)C;-4.38
PENTANOL;M-XYLENE;CCCCCO;Cc1cccc(c1)C;-5.21
ISOPROPANOL;M-XYLENE;CC(C)O;Cc1cccc(c1)C;-3.33
DICHLOROETHANE;M-XYLENE;C(CCl)Cl;Cc1cccc(c1)C;-4.45
ISOBUTANOL;M-XYLENE;CC(C)CO;Cc1cccc(c1)C;-4.1
3-METHYLBUTAN-1-OL;M-XYLENE;CC(C)CCO;Cc1cccc(c1)C;-4.93
M-XYLENE;M-XYLENE;Cc1cccc(c1)C;Cc1cccc(c1)C;-5.8
PENTANE;CARBON TETRACHLORIDE;CCCCC;C(Cl)(Cl)(Cl)Cl;-3.22
HEXANE;CARBON TETRACHLORIDE;CCCCCC;C(Cl)(Cl)(Cl)Cl;-4.07
HEPTANE;CARBON TETRACHLORIDE;CCCCCCC;C(Cl)(Cl)(Cl)Cl;-4.75
OCTANE;CARBON TETRACHLORIDE;CCCCCCCC;C(Cl)(Cl)(Cl)Cl;-5.53
NONANE;CARBON TETRACHLORIDE;CCCCCCCCC;C(Cl)(Cl)(Cl)Cl;-6.2
DICHLOROMETHANE;CARBON TETRACHLORIDE;C(Cl)Cl;C(Cl)(Cl)(Cl)Cl;-3.36
CHLOROFORM;CARBON TETRACHLORIDE;C(Cl)(Cl)Cl;C(Cl)(Cl)(Cl)Cl;-4.01
CARBON TETRACHLORIDE;CARBON TETRACHLORIDE;C(Cl)(Cl)(Cl)Cl;C(Cl)(Cl)(Cl)Cl;-4.42
DIETHYL ETHER;CARBON TETRACHLORIDE;CCOCC;C(Cl)(Cl)(Cl)Cl;-3.53
PROPYL ETHER;CARBON TETRACHLORIDE;CCCOCCC;C(Cl)(Cl)(Cl)Cl;-4.83
DIISOPROPYL ETHER;CARBON TETRACHLORIDE;CC(C)OC(C)C;C(Cl)(Cl)(Cl)Cl;-4.23
DIBUTYL ETHER;CARBON TETRACHLORIDE;CCCCOCCCC;C(Cl)(Cl)(Cl)Cl;-6.28
METHYL TERT-BUTYL ETHER;CARBON TETRACHLORIDE;CC(C)(C)OC;C(Cl)(Cl)(Cl)Cl;-3.95
TETRAHYDROFURAN;CARBON TETRACHLORIDE;C1CCOC1;C(Cl)(Cl)(Cl)Cl;-4.27
1,4-DIOXANE;CARBON TETRACHLORIDE;C1COCCO1;C(Cl)(Cl)(Cl)Cl;-4.88
ACETONE;CARBON TETRACHLORIDE;CC(=O)C;C(Cl)(Cl)(Cl)Cl;-3.4
BUTANONE;CARBON TETRACHLORIDE;CCC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.13
PENTAN-2-ONE;CARBON TETRACHLORIDE;CCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.8
2-HEXANONE;CARBON TETRACHLORIDE;CCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-5.47
2-HEPTANONE;CARBON TETRACHLORIDE;CCCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-6.15
METHYL ACETATE;CARBON TETRACHLORIDE;CC(=O)OC;C(Cl)(Cl)(Cl)Cl;-3.63
PROPYL ACETATE;CARBON TETRACHLORIDE;CCCOC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.97
BUTYL ACETATE;CARBON TETRACHLORIDE;CCCCOC(=O)C;C(Cl)(Cl)(Cl)Cl;-5.69
ACETONITRILE;CARBON TETRACHLORIDE;CC#N;C(Cl)(Cl)(Cl)Cl;-3.03
PROPIONITRILE;CARBON TETRACHLORIDE;CCC#N;C(Cl)(Cl)(Cl)Cl;-3.78
TRIETHYLAMINE;CARBON TETRACHLORIDE;CCN(CC)CC;C(Cl)(Cl)(Cl)Cl;-4.45
NITROMETHANE;CARBON TETRACHLORIDE;C[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-3.48
METHANOL;CARBON TETRACHLORIDE;CO;C(Cl)(Cl)(Cl)Cl;-2.24
ETHANOL;CARBON TETRACHLORIDE;CCO;C(Cl)(Cl)(Cl)Cl;-2.63
1-PROPANOL;CARBON TETRACHLORIDE;CCCO;C(Cl)(Cl)(Cl)Cl;-3.6
N-BUTANOL;CARBON TETRACHLORIDE;CCCCO;C(Cl)(Cl)(Cl)Cl;-4.32
PENTANOL;CARBON TETRACHLORIDE;CCCCCO;C(Cl)(Cl)(Cl)Cl;-5.11
HEXANOL;CARBON TETRACHLORIDE;CCCCCCO;C(Cl)(Cl)(Cl)Cl;-5.83
HEPTAN-1-OL;CARBON TETRACHLORIDE;CCCCCCCO;C(Cl)(Cl)(Cl)Cl;-6.36
1-OCTANOL;CARBON TETRACHLORIDE;CCCCCCCCO;C(Cl)(Cl)(Cl)Cl;-6.94
TOLUENE;CARBON TETRACHLORIDE;Cc1ccccc1;C(Cl)(Cl)(Cl)Cl;-5.29
CHLOROBENZENE;CARBON TETRACHLORIDE;c1ccc(cc1)Cl;C(Cl)(Cl)(Cl)Cl;-5.68
HEXADECANE;CARBON TETRACHLORIDE;CCCCCCCCCCCCCCCC;C(Cl)(Cl)(Cl)Cl;-11.41
BROMOETHANE;CARBON TETRACHLORIDE;CCBr;C(Cl)(Cl)(Cl)Cl;-3.45
ISOPROPANOL;CARBON TETRACHLORIDE;CC(C)O;C(Cl)(Cl)(Cl)Cl;-2.9
CARBON DISULFIDE;CARBON TETRACHLORIDE;C(=S)=S;C(Cl)(Cl)(Cl)Cl;-3.63
P-XYLENE;CARBON TETRACHLORIDE;Cc1ccc(cc1)C;C(Cl)(Cl)(Cl)Cl;-5.73
PYRIDINE;CARBON TETRACHLORIDE;c1ccncc1;C(Cl)(Cl)(Cl)Cl;-5.14
ETHYL ACETATE;CARBON TETRACHLORIDE;CCOC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.24
1-CHLOROBUTANE;CARBON TETRACHLORIDE;CCCCCl;C(Cl)(Cl)(Cl)Cl;-4.31
DICHLOROETHANE;CARBON TETRACHLORIDE;C(CCl)Cl;C(Cl)(Cl)(Cl)Cl;-4.3
ACETIC ACID;CARBON TETRACHLORIDE;CC(=O)O;C(Cl)(Cl)(Cl)Cl;-3.06
ISOBUTANOL;CARBON TETRACHLORIDE;CC(C)CO;C(Cl)(Cl)(Cl)Cl;-3.94
TERT-BUTANOL;CARBON TETRACHLORIDE;CC(C)(C)O;C(Cl)(Cl)(Cl)Cl;-3.31
O-XYLENE;CARBON TETRACHLORIDE;Cc1ccccc1C;C(Cl)(Cl)(Cl)Cl;-6.18
PENTYL ACETATE;CARBON TETRACHLORIDE;CCCCCOC(=O)C;C(Cl)(Cl)(Cl)Cl;-6.4
M-XYLENE;CARBON TETRACHLORIDE;Cc1cccc(c1)C;C(Cl)(Cl)(Cl)Cl;-5.7
ANISOLE;CARBON TETRACHLORIDE;COc1ccccc1;C(Cl)(Cl)(Cl)Cl;-5.78
BENZONITRILE;CARBON TETRACHLORIDE;c1ccc(cc1)C#N;C(Cl)(Cl)(Cl)Cl;-6.62
TERT-AMYL ALCOHOL;CARBON TETRACHLORIDE;CCC(C)(C)O;C(Cl)(Cl)(Cl)Cl;-4.37
4-METHYLPENTAN-2-OL;CARBON TETRACHLORIDE;CC(C)CC(C)O;C(Cl)(Cl)(Cl)Cl;-5.23
BROMOBENZENE;CARBON TETRACHLORIDE;c1ccc(cc1)Br;C(Cl)(Cl)(Cl)Cl;-6.34
NITROBENZENE;CARBON TETRACHLORIDE;c1ccc(cc1)[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-7.18
BENZYL ALCOHOL;CARBON TETRACHLORIDE;c1ccc(cc1)CO;C(Cl)(Cl)(Cl)Cl;-6.59
CYCLOHEXANONE;CARBON TETRACHLORIDE;C1CCC(=O)CC1;C(Cl)(Cl)(Cl)Cl;-6.23
2-ETHOXYETHANOL;CARBON TETRACHLORIDE;CCOCCO;C(Cl)(Cl)(Cl)Cl;-4.87
ACETOPHENONE;CARBON TETRACHLORIDE;CC(=O)c1ccccc1;C(Cl)(Cl)(Cl)Cl;-7.18
CYCLOOCTANE;CARBON TETRACHLORIDE;C1CCCCCCC1;C(Cl)(Cl)(Cl)Cl;-6.1
IODOBENZENE;CARBON TETRACHLORIDE;c1ccc(cc1)I;C(Cl)(Cl)(Cl)Cl;-7.03
2-PENTANOL;CARBON TETRACHLORIDE;CCCC(C)O;C(Cl)(Cl)(Cl)Cl;-4.71
ALLYL ALCOHOL;CARBON TETRACHLORIDE;C=CCO;C(Cl)(Cl)(Cl)Cl;-3.55
1-ETHOXYBUTANE;CARBON TETRACHLORIDE;CCCCOCC;C(Cl)(Cl)(Cl)Cl;-4.91
1-METHOXYBUTANE;CARBON TETRACHLORIDE;CCCCOC;C(Cl)(Cl)(Cl)Cl;-4.39
PENTANE;TETRAHYDROFURAN;CCCCC;C1CCOC1;-3.18
HEXANE;TETRAHYDROFURAN;CCCCCC;C1CCOC1;-3.87
HEPTANE;TETRAHYDROFURAN;CCCCCCC;C1CCOC1;-4.56
OCTANE;TETRAHYDROFURAN;CCCCCCCC;C1CCOC1;-5.25
NONANE;TETRAHYDROFURAN;CCCCCCCCC;C1CCOC1;-5.92
DICHLOROMETHANE;TETRAHYDROFURAN;C(Cl)Cl;C1CCOC1;-4.27
CHLOROFORM;TETRAHYDROFURAN;C(Cl)(Cl)Cl;C1CCOC1;-5.13
CARBON TETRACHLORIDE;TETRAHYDROFURAN;C(Cl)(Cl)(Cl)Cl;C1CCOC1;-4.65
DIETHYL ETHER;TETRAHYDROFURAN;CCOCC;C1CCOC1;-3.51
DIBUTYL ETHER;TETRAHYDROFURAN;CCCCOCCCC;C1CCOC1;-6.13
TETRAHYDROFURAN;TETRAHYDROFURAN;C1CCOC1;C1CCOC1;-4.28
1,4-DIOXANE;TETRAHYDROFURAN;C1COCCO1;C1CCOC1;-5.1
ACETONE;TETRAHYDROFURAN;CC(=O)C;C1CCOC1;-3.89
BUTANONE;TETRAHYDROFURAN;CCC(=O)C;C1CCOC1;-4.54
ACETONITRILE;TETRAHYDROFURAN;CC#N;C1CCOC1;-4.3
TRIETHYLAMINE;TETRAHYDROFURAN;CCN(CC)CC;C1CCOC1;-4.6
NITROMETHANE;TETRAHYDROFURAN;C[N+](=O)[O-];C1CCOC1;-5.01
METHANOL;TETRAHYDROFURAN;CO;C1CCOC1;-3.87
ETHANOL;TETRAHYDROFURAN;CCO;C1CCOC1;-4.56
1-PROPANOL;TETRAHYDROFURAN;CCCO;C1CCOC1;-5.18
TOLUENE;TETRAHYDROFURAN;Cc1ccccc1;C1CCOC1;-5.44
ETHYLBENZENE;TETRAHYDROFURAN;CCc1ccccc1;C1CCOC1;-6.04
CHLOROBENZENE;TETRAHYDROFURAN;c1ccc(cc1)Cl;C1CCOC1;-6.04
ISOPROPANOL;TETRAHYDROFURAN;CC(C)O;C1CCOC1;-4.69
ETHYL ACETATE;TETRAHYDROFURAN;CCOC(=O)C;C1CCOC1;-4.56
DIMETHYLFORMAMIDE;TETRAHYDROFURAN;CN(C)C=O;C1CCOC1;-5.99
2,2,4-TRIMETHYLPENTANE;TETRAHYDROFURAN;CC(C)CC(C)(C)C;C1CCOC1;-4.65
DICHLOROETHANE;TETRAHYDROFURAN;C(CCl)Cl;C1CCOC1;-5.01
PERFLUOROBENZENE;TETRAHYDROFURAN;c1(c(c(c(c(c1F)F)F)F)F)F;C1CCOC1;-4.5
METHYLCYCLOHEXANE;TETRAHYDROFURAN;CC1CCCCC1;C1CCOC1;-4.67
FLUOROBENZENE;TETRAHYDROFURAN;c1ccc(cc1)F;C1CCOC1;-4.94
BROMOBENZENE;TETRAHYDROFURAN;c1ccc(cc1)Br;C1CCOC1;-6.45
IODOBENZENE;TETRAHYDROFURAN;c1ccc(cc1)I;C1CCOC1;-7.38
PENTANE;TRIETHYLAMINE;CCCCC;CCN(CC)CC;-3.28
HEXANE;TRIETHYLAMINE;CCCCCC;CCN(CC)CC;-3.97
HEPTANE;TRIETHYLAMINE;CCCCCCC;CCN(CC)CC;-4.68
OCTANE;TRIETHYLAMINE;CCCCCCCC;CCN(CC)CC;-5.38
NONANE;TRIETHYLAMINE;CCCCCCCCC;CCN(CC)CC;-6.07
1,4-DIOXANE;TRIETHYLAMINE;C1COCCO1;CCN(CC)CC;-4.31
BUTANONE;TRIETHYLAMINE;CCC(=O)C;CCN(CC)CC;-3.69
TRIETHYLAMINE;TRIETHYLAMINE;CCN(CC)CC;CCN(CC)CC;-4.5
NITROMETHANE;TRIETHYLAMINE;C[N+](=O)[O-];CCN(CC)CC;-3.46
ETHANOL;TRIETHYLAMINE;CCO;CCN(CC)CC;-4.17
TOLUENE;TRIETHYLAMINE;Cc1ccccc1;CCN(CC)CC;-4.89
PENTANE;2,2,4-TRIMETHYLPENTANE;CCCCC;CC(C)CC(C)(C)C;-3.23
HEXANE;2,2,4-TRIMETHYLPENTANE;CCCCCC;CC(C)CC(C)(C)C;-3.9
HEPTANE;2,2,4-TRIMETHYLPENTANE;CCCCCCC;CC(C)CC(C)(C)C;-4.59
OCTANE;2,2,4-TRIMETHYLPENTANE;CCCCCCCC;CC(C)CC(C)(C)C;-5.26
NONANE;2,2,4-TRIMETHYLPENTANE;CCCCCCCCC;CC(C)CC(C)(C)C;-5.94
DICHLOROMETHANE;2,2,4-TRIMETHYLPENTANE;C(Cl)Cl;CC(C)CC(C)(C)C;-2.84
CHLOROFORM;2,2,4-TRIMETHYLPENTANE;C(Cl)(Cl)Cl;CC(C)CC(C)(C)C;-3.52
DIISOPROPYL ETHER;2,2,4-TRIMETHYLPENTANE;CC(C)OC(C)C;CC(C)CC(C)(C)C;-3.78
TERT-AMYL METHYL ETHER;2,2,4-TRIMETHYLPENTANE;CCC(C)(C)OC;CC(C)CC(C)(C)C;-4.24
METHYL TERT-BUTYL ETHER;2,2,4-TRIMETHYLPENTANE;CC(C)(C)OC;CC(C)CC(C)(C)C;-3.58
TETRAHYDROFURAN;2,2,4-TRIMETHYLPENTANE;C1CCOC1;CC(C)CC(C)(C)C;-3.72
1,4-DIOXANE;2,2,4-TRIMETHYLPENTANE;C1COCCO1;CC(C)CC(C)(C)C;-4.02
ACETONE;2,2,4-TRIMETHYLPENTANE;CC(=O)C;CC(C)CC(C)(C)C;-2.44
BUTANONE;2,2,4-TRIMETHYLPENTANE;CCC(=O)C;CC(C)CC(C)(C)C;-3.4
PENTAN-2-ONE;2,2,4-TRIMETHYLPENTANE;CCCC(=O)C;CC(C)CC(C)(C)C;-4.14
2-HEXANONE;2,2,4-TRIMETHYLPENTANE;CCCCC(=O)C;CC(C)CC(C)(C)C;-4.72
PROPIONITRILE;2,2,4-TRIMETHYLPENTANE;CCC#N;CC(C)CC(C)(C)C;-2.83
NITROMETHANE;2,2,4-TRIMETHYLPENTANE;C[N+](=O)[O-];CC(C)CC(C)(C)C;-2.69
METHANOL;2,2,4-TRIMETHYLPENTANE;CO;CC(C)CC(C)(C)C;-1.44
ETHANOL;2,2,4-TRIMETHYLPENTANE;CCO;CC(C)CC(C)(C)C;-2.44
1-PROPANOL;2,2,4-TRIMETHYLPENTANE;CCCO;CC(C)CC(C)(C)C;-3.0
N-BUTANOL;2,2,4-TRIMETHYLPENTANE;CCCCO;CC(C)CC(C)(C)C;-3.75
PENTANOL;2,2,4-TRIMETHYLPENTANE;CCCCCO;CC(C)CC(C)(C)C;-4.38
HEXANOL;2,2,4-TRIMETHYLPENTANE;CCCCCCO;CC(C)CC(C)(C)C;-5.1
HEPTAN-1-OL;2,2,4-TRIMETHYLPENTANE;CCCCCCCO;CC(C)CC(C)(C)C;-5.82
1-OCTANOL;2,2,4-TRIMETHYLPENTANE;CCCCCCCCO;CC(C)CC(C)(C)C;-6.52
TOLUENE;2,2,4-TRIMETHYLPENTANE;Cc1ccccc1;CC(C)CC(C)(C)C;-4.68
ETHYLBENZENE;2,2,4-TRIMETHYLPENTANE;CCc1ccccc1;CC(C)CC(C)(C)C;-5.3
CHLOROBENZENE;2,2,4-TRIMETHYLPENTANE;c1ccc(cc1)Cl;CC(C)CC(C)(C)C;-4.92
BROMOETHANE;2,2,4-TRIMETHYLPENTANE;CCBr;CC(C)CC(C)(C)C;-2.95
ISOPROPANOL;2,2,4-TRIMETHYLPENTANE;CC(C)O;CC(C)CC(C)(C)C;-2.9
CARBON DISULFIDE;2,2,4-TRIMETHYLPENTANE;C(=S)=S;CC(C)CC(C)(C)C;-3.25
P-XYLENE;2,2,4-TRIMETHYLPENTANE;Cc1ccc(cc1)C;CC(C)CC(C)(C)C;-5.39
PYRIDINE;2,2,4-TRIMETHYLPENTANE;c1ccncc1;CC(C)CC(C)(C)C;-4.03
ETHYL ACETATE;2,2,4-TRIMETHYLPENTANE;CCOC(=O)C;CC(C)CC(C)(C)C;-3.53
2,2,4-TRIMETHYLPENTANE;2,2,4-TRIMETHYLPENTANE;CC(C)CC(C)(C)C;CC(C)CC(C)(C)C;-4.58
1-CHLOROBUTANE;2,2,4-TRIMETHYLPENTANE;CCCCCl;CC(C)CC(C)(C)C;-3.91
ISOBUTANOL;2,2,4-TRIMETHYLPENTANE;CC(C)CO;CC(C)CC(C)(C)C;-3.55
TERT-BUTANOL;2,2,4-TRIMETHYLPENTANE;CC(C)(C)O;CC(C)CC(C)(C)C;-3.25
PERFLUOROBENZENE;2,2,4-TRIMETHYLPENTANE;c1(c(c(c(c(c1F)F)F)F)F)F;CC(C)CC(C)(C)C;-3.53
O-XYLENE;2,2,4-TRIMETHYLPENTANE;Cc1ccccc1C;CC(C)CC(C)(C)C;-5.5
2-PICOLINE;2,2,4-TRIMETHYLPENTANE;Cc1ccccn1;CC(C)CC(C)(C)C;-4.69
NITROETHANE;2,2,4-TRIMETHYLPENTANE;CC[N+](=O)[O-];CC(C)CC(C)(C)C;-3.15
M-XYLENE;2,2,4-TRIMETHYLPENTANE;Cc1cccc(c1)C;CC(C)CC(C)(C)C;-5.12
PHENYLAMINE;2,2,4-TRIMETHYLPENTANE;c1ccc(cc1)N;CC(C)CC(C)(C)C;-5.2
DODECAN-1-OL;2,2,4-TRIMETHYLPENTANE;CCCCCCCCCCCCO;CC(C)CC(C)(C)C;-8.62
BUTYROLACTONE;2,2,4-TRIMETHYLPENTANE;C1CC(=O)OC1;CC(C)CC(C)(C)C;-4.99
PENTANE;EPSILON-CAPROLACTONE;CCCCC;C1CCC(=O)OCC1;-2.03
HEXANE;EPSILON-CAPROLACTONE;CCCCCC;C1CCC(=O)OCC1;-2.62
HEPTANE;EPSILON-CAPROLACTONE;CCCCCCC;C1CCC(=O)OCC1;-3.2
OCTANE;EPSILON-CAPROLACTONE;CCCCCCCC;C1CCC(=O)OCC1;-3.76
DICHLOROMETHANE;EPSILON-CAPROLACTONE;C(Cl)Cl;C1CCC(=O)OCC1;-3.91
CHLOROFORM;EPSILON-CAPROLACTONE;C(Cl)(Cl)Cl;C1CCC(=O)OCC1;-4.56
DIETHYL ETHER;EPSILON-CAPROLACTONE;CCOCC;C1CCC(=O)OCC1;-2.73
DIISOPROPYL ETHER;EPSILON-CAPROLACTONE;CC(C)OC(C)C;C1CCC(=O)OCC1;-3.17
ETBE;EPSILON-CAPROLACTONE;CCOC(C)(C)C;C1CCC(=O)OCC1;-3.32
TERT-AMYL METHYL ETHER;EPSILON-CAPROLACTONE;CCC(C)(C)OC;C1CCC(=O)OCC1;-3.74
METHYL TERT-BUTYL ETHER;EPSILON-CAPROLACTONE;CC(C)(C)OC;C1CCC(=O)OCC1;-3.15
TETRAHYDROFURAN;EPSILON-CAPROLACTONE;C1CCOC1;C1CCC(=O)OCC1;-3.9
ACETONE;EPSILON-CAPROLACTONE;CC(=O)C;C1CCC(=O)OCC1;-3.77
BUTANONE;EPSILON-CAPROLACTONE;CCC(=O)C;C1CCC(=O)OCC1;-4.27
PENTAN-2-ONE;EPSILON-CAPROLACTONE;CCCC(=O)C;C1CCC(=O)OCC1;-4.74
METHANOL;EPSILON-CAPROLACTONE;CO;C1CCC(=O)OCC1;-3.95
ETHANOL;EPSILON-CAPROLACTONE;CCO;C1CCC(=O)OCC1;-4.28
1-PROPANOL;EPSILON-CAPROLACTONE;CCCO;C1CCC(=O)OCC1;-4.84
TOLUENE;EPSILON-CAPROLACTONE;Cc1ccccc1;C1CCC(=O)OCC1;-4.78
ISOPROPANOL;EPSILON-CAPROLACTONE;CC(C)O;C1CCC(=O)OCC1;-4.38
EPSILON-CAPROLACTONE;EPSILON-CAPROLACTONE;C1CCC(=O)OCC1;C1CCC(=O)OCC1;-7.28
2-HEPTANOL;2-HEPTANOL;CCCCCC(C)O;CCCCCC(C)O;-7.19
OCTANE;IODOBENZENE;CCCCCCCC;c1ccc(cc1)I;-4.76
1,4-DIOXANE;IODOBENZENE;C1COCCO1;c1ccc(cc1)I;-4.95
BUTANONE;IODOBENZENE;CCC(=O)C;c1ccc(cc1)I;-4.23
TRIETHYLAMINE;IODOBENZENE;CCN(CC)CC;c1ccc(cc1)I;-4.34
NITROMETHANE;IODOBENZENE;C[N+](=O)[O-];c1ccc(cc1)I;-4.0
METHANOL;IODOBENZENE;CO;c1ccc(cc1)I;-2.17
ETHANOL;IODOBENZENE;CCO;c1ccc(cc1)I;-2.39
1-PROPANOL;IODOBENZENE;CCCO;c1ccc(cc1)I;-3.55
N-BUTANOL;IODOBENZENE;CCCCO;c1ccc(cc1)I;-4.05
PENTANOL;IODOBENZENE;CCCCCO;c1ccc(cc1)I;-5.12
HEXANOL;IODOBENZENE;CCCCCCO;c1ccc(cc1)I;-5.76
HEPTAN-1-OL;IODOBENZENE;CCCCCCCO;c1ccc(cc1)I;-6.51
TOLUENE;IODOBENZENE;Cc1ccccc1;c1ccc(cc1)I;-5.05
IODOBENZENE;IODOBENZENE;c1ccc(cc1)I;c1ccc(cc1)I;-7.12
